"topic","n"
"teoria_miary",1780
"topologia",1746
"informatyka",1160
"geometria_rozniczkowa",667
"analiza_rzeczywista",580
"algebra_liniowa",215
"teoria_prawdopodobienstwa",118
"inne",18
